key,phase,median,p95,samples
alpha129-159-241-1-4,environment_decode,0.007292,0.007292,1
alpha129-159-241-1-4,frame_allocate_clear,0.048667,0.048667,1
alpha129-159-241-1-4,lights_shadow_allocate,0.0025,0.0025,1
alpha129-159-241-1-4,shadow_alpha_allocate,0.001083,0.001083,1
alpha129-159-241-1-4,shader_setup_asset_decode,0.019167,0.019167,1
alpha129-159-241-1-4,model_setup,0.012666,0.012666,1
alpha129-159-241-1-4,bin_and_shadow_shader_allocate,0.114917,0.114917,1
alpha129-159-241-1-4,shadow_finalize,0.000125,0.000125,1
alpha129-159-241-1-4,indexed_main_transforms,0.003208,0.003208,1
alpha129-159-241-1-4,main_transform_setup,0.196,0.196,1
alpha129-159-241-1-4,main_bin_build,0.709,0.709,1
alpha129-159-241-1-4,main_coverage_depth_shading,26.585292,26.585292,1
alpha129-159-241-1-4,lines,0.010833,0.010833,1
alpha129-159-241-1-4,count_fragment_capacity_bytes,205646592.0,205646592.0,1
alpha129-159-241-1-4,count_maximum_layers_per_sample,129.0,129.0,1
alpha129-159-241-1-4,count_transparent_touched_samples,26038.0,26038.0,1
alpha129-159-241-1-4,transparency_resolve,31.625042,31.625042,1
alpha129-159-241-1-4,depth_conversion,0.005917,0.005917,1
alpha129-159-241-1-4,remaining_output_setup,0.008708,0.008708,1
alpha129-159-241-1-4,count_outline_scratch_payload_bytes,0.0,0.0,1
alpha129-159-241-1-4,count_shadow_matrix_payload_bytes,0.0,0.0,1
alpha129-159-241-1-4,count_varying_payload_bytes,321984.0,321984.0,1
alpha129-159-241-1-4,count_auxiliary_matrix_payload_bytes,0.0,0.0,1
alpha129-159-241-1-4,count_environment_variant_requests,0.0,0.0,1
alpha129-159-241-1-4,count_environment_resize_variants,0.0,0.0,1
alpha129-159-241-1-4,count_environment_variant_bytes,0.0,0.0,1
alpha129-159-241-1-4,count_texture_decodes,0.0,0.0,1
alpha129-159-241-1-4,count_texture_payload_bytes,0.0,0.0,1
alpha129-159-241-1-4,count_prepared_texture_hits,0.0,0.0,1
alpha129-159-241-1-4,count_prepared_texture_payload_bytes,0.0,0.0,1
alpha129-159-241-1-4,count_indexed_positions,0.0,0.0,1
alpha129-159-241-1-4,count_main_clip_transform_evaluations,3096.0,3096.0,1
alpha129-159-241-1-4,count_indexed_transform_payload_bytes,0.0,0.0,1
alpha129-159-241-1-4,count_input_triangles,1032.0,1032.0,1
alpha129-159-241-1-4,count_models,1.0,1.0,1
alpha129-159-241-1-4,count_materials,2.0,2.0,1
alpha129-159-241-1-4,count_main_tasks,27.0,27.0,1
alpha129-159-241-1-4,count_shadow_tasks,0.0,0.0,1
alpha129-159-241-1-4,count_main_active_blocks,1680.0,1680.0,1
alpha129-159-241-1-4,count_main_bin_references,304571.0,304571.0,1
alpha129-159-241-1-4,count_main_setup_count,1076.0,1076.0,1
alpha129-159-241-1-4,count_main_post_clip_triangles,1076.0,1076.0,1
alpha129-159-241-1-4,count_main_clipped_triangles,120.0,120.0,1
alpha129-159-241-1-4,count_main_culled_primitives,0.0,0.0,1
alpha129-159-241-1-4,count_main_setup_bin_capacity_bytes,1626804.0,1626804.0,1
alpha129-159-241-1-4,count_coverage_candidates,4482508.0,4482508.0,1
alpha129-159-241-1-4,count_covered_samples,2130156.0,2130156.0,1
alpha129-159-241-1-4,count_early_z_failures,0.0,0.0,1
alpha129-159-241-1-4,count_shader_calls,2130156.0,2130156.0,1
alpha129-159-241-1-4,count_transparent_fragments,2130156.0,2130156.0,1
alpha129-159-241-1-4,count_visibility_tiles,0.0,0.0,1
alpha129-159-241-1-4,count_visibility_fallbacks,0.0,0.0,1
